"","x"
"1",0.00152164852664727
"2",0.000113954863324095
"3",0.0330291317713612
"4",0.0330291317713612
"5",0.00554418189728493
"6",6.23404791744418e-05
"7",0.00150469039546121
"8",0.0305136681231438
"9",3.46052526468562e-06
"10",0.000203639563083789
"11",4.99493500681639e-06
"12",0.000881922564275022
"13",0.000186387160282862
"14",0.0208906426689032
"15",0.0203330949022954
"16",0.00092596064270595
"17",0.0032883516599408
"18",0.00706482206904497
"19",0.00758641037787246
"20",0.0210625875044571
"21",0.00413935440435418
"22",5.29064488018698e-06
"23",0.00280182912542327
"24",0.000172839062525281
"25",0.000367746404855557
"26",7.41082097636028e-06
"27",0.00172764902830752
"28",0.00172764902830752
"29",0.208397193826142
"30",0.00237905566162556
"31",0.00822729322737735
"32",0.00189712447795296
"33",0.00849265299114095
"34",0.00037473334075153
"35",0.00037473334075153
"36",0.00037473334075153
"37",0.000277668244778867
"38",0.000879888941388231
"39",0.00820649484718513
"40",0.00437031899762086
"41",0.000721862101840083
"42",0.00327795745448982
"43",0.00568027607197084
"44",2.77634524513094e-07
"45",0.000622772398020537
"46",0.00062478314609949
"47",0.00623358300929908
"48",0.00303678875829578
"49",0.00303678875829578
"50",0.00158527541913053
"51",0.0275475528149471
"52",0.017763181994994
"53",0.00500051102919171
"54",0.00229784038933071
"55",0.000413626211086536
"56",0.00176722225175198
"57",0.00176722225175198
"58",6.62179638309766e-06
"59",6.87791835412421e-07
"60",0.0109860887164893
"61",2.93296958040456e-05
"62",0.00665091369314021
"63",0.00113680773468697
"64",0.000141956827179664
"65",0.0165701311063258
"66",0.0102163009009633
"67",2.53160990950222e-06
"68",0.000553098818624105
"69",0.00130248696745657
"70",0.0034948737187106
"71",0.00297333907756233
"72",5.48800461659881e-05
"73",0.000106780152818633
"74",9.73445560733574e-06
"75",2.38136909765927e-06
"76",0.000120992733627958
"77",0.00111987616591781
"78",0.000815960610602459
"79",0.000815960610602459
"80",0.00270547444963725
"81",0.00756675027722518
"82",0.000219886319910776
"83",0.00125684289145256
"84",0.000942651199195454
"85",4.54672581394398e-05
"86",0.000633130673570998
"87",0.0491251136824606
"88",5.41119656668925e-05
"89",0.000206650509513172
"90",2.51593465167081e-06
"91",0.00499543158574729
"92",3.43530801294089e-06
"93",0.000993475076837012
"94",0.00101931897345553
"95",0.00438584744427227
"96",1.45030549152727e-05
"97",0.00742247881206116
"98",0.0260047675266505
"99",0.00169448444584229
"100",0.00127480041981248
"101",0.00127480041981248
"102",0.00274032728218945
"103",8.45843081001264e-05
"104",0.000478782958475193
"105",1.36463037325078e-06
"106",0.0363483072353846
"107",0.066818916039446
"108",0.00114185373577122
"109",0.00365716683711573
"110",0.000768369227580572
"111",0.000768369227580572
"112",0.000768369227580572
"113",0.000738850906131764
"114",0.00385012232474388
"115",0.00227542098439974
"116",0.00805837669353249
"117",0.0112179472421724
"118",0.00831725235139119
"119",0.00468665340748951
"120",0.00372686057619778
"121",0.00372686057619778
"122",0.00372686057619778
"123",0.000511766628880114
"124",0.00388398012846205
"125",0.000841608695079658
"126",0.00269422867090621
"127",0.00106574258256545
"128",0.00244702700865725
"129",0.00106536582609778
"130",0.00455730215193678
"131",0.0541325815207307
"132",0.0188581739976908
"133",0.00340215841364764
"134",7.74198858869996e-05
"135",0.031173801477031
"136",0.000648283714259109
"137",3.13506654782759e-05
"138",0.00365117814052925
"139",0.0116740080490393
"140",0.000901606323917662
"141",0.00198139013737312
"142",0.00111852644810537
"143",0.00610401298984091
"144",0.0290131379433739
"145",0.0118873223422798
"146",9.52504694605371e-05
"147",0.000829350986399358
"148",0.001415534333177
"149",0.000457401600802046
"150",0.00344973078688691
"151",0.000334097773421207
"152",0.0197360909631563
"153",0.00127202179838562
"154",0.00897811763188409
"155",0.00144379586637003
"156",0.000428067864059773
"157",0.000819367854466363
"158",0.00703787516204704
"159",0.00258087894880148
"160",0.00128616206239406
"161",0.00135707155826173
"162",0.527800532027444
"163",0.00556090444012523
"164",0.00556090444012523
"165",0.000460426265599492
"166",0.000460426265599492
"167",0.000127421869961913
"168",1.93779716675905e-05
"169",0.00617362649004551
"170",0.000299851428474325
"171",0.000816006916383636
"172",0.000638576197636928
"173",0.00234903953455229
"174",0.000345063680790854
"175",0.000188211975537553
"176",4.71302094121957e-07
"177",0.00104333158316142
"178",0.00272094380981796
"179",0.000498483906418473
"180",0.0368198215561687
"181",0.00995107598041856
"182",0.00922183753888469
"183",0.0150479622741012
"184",0.00111816121707372
"185",4.17621552992257e-05
"186",0.0114455118798774
"187",0.00961856721077537
"188",0.00108728868818943
